id,category,name,unit,price,note
board-ldsp-18,board,"ЛДСП кухни складская программа, кромка 1 мм",m2,2520,"Ренессанс · ЛДСП складская программа"
board-hdf,board,"ХДФ",m2,800,"Ренессанс · Прочие материалы"
facade-film,facade,"МДФ Плёнка (ВДМ) 16мм 1 группа, 2 стороны",m2,8290,"Ренессанс · Группы Плёнка МДФ"
facade-enamel,facade,"МДФ Эмаль матовая 16мм (мыло)",m2,11850,"Ренессанс · МДФ ЭМАЛЬ 16мм"
facade-veneer,facade,"Кромка/ориентир шпон (ставка кромки НШ 1гр; фасад уточнять)",lm,290,"В прайсе шпон часто как кромка/спецзаказ — проверять категорию фасада"
facade-frame,facade,"Алюмин. профиль на фасады (узкий)",lm,210,"Ренессанс · АЛЮМИНИЕВЫЙ ПРОФИЛЬ ДЛЯ ФАСАДОВ"
edge-04,edge,"Кромка 0,8х19 (ближайший тонкий аналог; 0,4 в прайсе нет)",lm,80,"Ренессанс · КРОМКА"
edge-2,edge,"Кромка ПВХ 2х19 мм",lm,100,"Ренессанс · КРОМКА"
hinge,hardware,"Петля Boyard накладная с доводчиком",pcs,190,"Ренессанс · ПЕТЛИ"
runner,hardware,"Направляющие Boyard ПВШ DB 3501 на 450 мм",set,260,"Ренессанс · НАПРАВЛЯЮЩИЕ ДЛЯ ЯЩИКОВ ПВШ"
tandem,hardware,"Movento Blum c BLUMOTION S 40кг гл.450",set,7510,"Ренессанс · TANDEM BLUM MOVENTO"
handle,hardware,"Ручка-скоба в тон",pcs,10,"Ренессанс · РУЧКИ (мин. ставка; каталог огромный)"
tip-on,hardware,"Толкатель Push-to-Open Boyard AMF13",pcs,160,"Ренессанс · ПЕТЛИ И КОМПЛЕКТУЮЩИЕ"
leg,hardware,"Опора h22 мм",pcs,60,"Ренессанс · НОЖКИ"
countertop-hpl,countertop,"Столешница Egger 38 мм 1 группа",lm,6880,"Ренессанс · СТОЛЕШНИЦЫ EGGER"
backsplash,countertop,"Стеновая панель Arpa 1 группа",m2,6730,"Ренессанс · ARPA (без кромки); в смете единица м²"
plinth,other,"Цоколь ПВХ №1–4 прямой (Ренессанс)",lm,1290,"Ренессанс · МДФ БАГЕТ/БАЛЮСТРАДА"
false-panel,other,"МДФ Плёнка 16мм 1 группа (как фальшпанель)",m2,8290,"Та же ставка, что facade-film"
led,other,"Профиль + рассеиватель под LED (ориентир комплекта)",lm,210,"Ренессанс · паз под подсветку 210; полный комплект дороже — уточнять"
glass-corrugated,facade,"Стекло/наполнение — уточнять по разделу СТЁКЛА",m2,3000,"Консервативный ориентир; сверять конкретный артикул"
labor-cut,labor,"Раскрой (в прайсе нет явной ставки — внутреннее допущение)",m2,450,"requires_confirmation · нет прямой строки в master_price"
labor-edge,labor,"Кромление работа (допущение)",lm,80,"requires_confirmation · нет прямой строки"
labor-assembly,labor,"Сборка корпусов (допущение)",lm,3500,"requires_confirmation"
labor-delivery,labor,"Доставка (допущение)",job,8000,"requires_confirmation"
labor-install,labor,"Монтаж (допущение)",lm,4500,"requires_confirmation"
labor-measure,labor,"Замер (допущение)",job,5000,"requires_confirmation"
risk-buffer,other,"Запас на риски объекта",job,15000,"Внутреннее консервативное допущение Mebel-LAB"
tall-surcharge,other,"Доплата за пенал (допущение)",pcs,25000,"requires_confirmation"
ren-avira-loft-лофт-заглушка-пластиковая-под-отверстие-черный-0,other,"AVIRA LOFT: Лофт Заглушка пластиковая под отверстие черный",lm,30,"официальная цена · AVIRA LOFT.pdf"
ren-avira-loft-лофт-коннектор-1-черный-1,other,"AVIRA LOFT: Лофт Коннектор 1 черный",pcs,130,"официальная цена · AVIRA LOFT.pdf"
ren-avira-loft-лофт-коннектор-2-черный-2,other,"AVIRA LOFT: Лофт Коннектор 2 черный",pcs,440,"официальная цена · AVIRA LOFT.pdf"
ren-avira-loft-лофт-коннектор-3-с-регулируемой-опорой-черный-3,hardware,"AVIRA LOFT: Лофт Коннектор 3 с регулируемой опорой черный",pcs,520,"официальная цена · AVIRA LOFT.pdf"
ren-avira-loft-лофт-коннектор-3-черный-4,other,"AVIRA LOFT: Лофт Коннектор 3 черный",pcs,490,"официальная цена · AVIRA LOFT.pdf"
ren-avira-loft-лофт-коннектор-4-с-регулируемой-опорой-черный-5,hardware,"AVIRA LOFT: Лофт Коннектор 4 с регулируемой опорой черный",pcs,570,"официальная цена · AVIRA LOFT.pdf"
ren-avira-loft-лофт-коннектор-4-черный-6,other,"AVIRA LOFT: Лофт Коннектор 4 черный",pcs,550,"официальная цена · AVIRA LOFT.pdf"
ren-avira-loft-лофт-коннектор-5-черный-7,other,"AVIRA LOFT: Лофт Коннектор 5 черный",pcs,620,"официальная цена · AVIRA LOFT.pdf"
ren-avira-loft-лофт-шаблон-для-разметки-отверстий-серый-8,other,"AVIRA LOFT: Лофт Шаблон для разметки отверстий серый",set,780,"официальная цена · AVIRA LOFT.pdf"
ren-avira-loft-профиль-для-полок-loft-avira-черный-9,other,"AVIRA LOFT: Профиль для полок LOFT AVIRA черный",lm,1180,"официальная цена · AVIRA LOFT.pdf"
ren-avira-loft-профиль-основной-avira-loft-черный-10,other,"AVIRA LOFT: Профиль основной AVIRA LOFT черный",lm,940,"официальная цена · AVIRA LOFT.pdf"
ren-наценка-за-доп-работы-покраска-алюминиевого-профиля-11,labor,"НАЦЕНКА ЗА ДОП. РАБОТЫ: Покраска алюминиевого профиля",lm,3190,"официальная цена · АЛЮМИНИЕВЫЙ ПРОФИЛЬ.pdf"
ren-алюминиевый-профиль-ручка-комплект-заглушек-для-профиля-с-и-г-2-шт-6-12,hardware,"АЛЮМИНИЕВЫЙ ПРОФИЛЬ РУЧКА: Комплект заглушек для профиля С и Г (2 шт.) №6",set,390,"официальная цена · АЛЮМИНИЕВЫЙ ПРОФИЛЬ.pdf"
ren-алюминиевый-профиль-ручка-комплект-пластиковых-креплений-для-профиля-г-и-с-под-с-13,hardware,"АЛЮМИНИЕВЫЙ ПРОФИЛЬ РУЧКА: Комплект пластиковых креплений для профиля Г и С под саморез (2 шт.)",set,150,"официальная цена · АЛЮМИНИЕВЫЙ ПРОФИЛЬ.pdf"
ren-алюминиевый-профиль-ручка-металлическое-крепление-под-саморез-для-профиля-г-и-с--14,hardware,"АЛЮМИНИЕВЫЙ ПРОФИЛЬ РУЧКА: Металлическое крепление под саморез для профиля Г и С (1шт.)",pcs,130,"официальная цена · АЛЮМИНИЕВЫЙ ПРОФИЛЬ.pdf"
